ID_0,ISO_0,NAME_0,ID_1,NAME_1,NL_NAME_1,VARNAME_1,TYPE_1,ENGTYPE_1,ISO_1,OKATO,OKTMO,GOST,cartodb_id,created_at,updated_at,name_latin
186,RUS,Russia,56,Omsk,Омская область,СФО,область,Region,RU-OMS,52,52,RU-OMS,21,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Omsk Oblast
186,RUS,Russia,36,Komi,Республика Коми,СЗФО,республика,Republic,RU-KO,87,87,RU-KO|RU-KOM,25,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Komi Republic
186,RUS,Russia,11,Chechnya,Чеченская Республика,СКФО,республика,Republic,RU-CE,96,96,RU-CE|RU-CHA,32,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Chechen Republic
186,RUS,Russia,23,Kabardin-Balkar,Кабардино-Балкарская Республика,СКФО,республика,Republic,RU-KB,83,83,RU-KB|RU-KAB,36,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Kabardino-Balkar Republic
186,RUS,Russia,68,Saratov,Саратовская область,ПФО,область,Region,RU-SAR,63,63,RU-SAR,41,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Saratov Oblast
186,RUS,Russia,24,Kaliningrad,Калининградская область,СЗФО,область,Region,RU-KGD,27,27,RU-KAG,47,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Kaliningrad Oblast
186,RUS,Russia,57,Orel,Орловская область,ЦФО,область,Region,RU-ORL,54,54,RU-ORL,51,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Oryol Oblast
186,RUS,Russia,29,Karelia,Республика Карелия,СЗФО,республика,Republic,RU-KR,86,86,RU-KL|RU-KAR,83,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Republic of Karelia
186,RUS,Russia,21,Irkutsk,Иркутская область,СФО,область,Region,RU-IRK,25,25,RU-IRK,82,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Irkutsk Oblast
186,RUS,Russia,4,Amur,Амурская область,ДФО,область,Region,RU-AMU,10,10,RU-AMU,81,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Amur Oblast
186,RUS,Russia,89,Yevrey,Еврейская автономная область,ДФО,автономная область,Autonomous Region,RU-YEV,99,99,RU-JEW,80,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Jewish Autonomous Oblast
186,RUS,Russia,31,Khabarovsk,Хабаровский край,ДФО,край,Territory,RU-KHA,08,08,RU-KHA,79,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Khabarovsk Krai
186,RUS,Russia,30,Kemerovo,Кемеровская область,СФО,область,Region,RU-KEM,32,32,RU-KEM,78,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Kemerovo Oblast
186,RUS,Russia,32,Khakass,Республика Хакасия,СФО,республика,Republic,RU-KK,95,95,RU-KN|RU-KHK,75,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Republic of Khakassia
186,RUS,Russia,88,Yaroslavl',Ярославская область,ЦФО,область,Region,RU-YAR,78,78,RU-YAR,66,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Yaroslavl Oblast
186,RUS,Russia,85,Vologda,Вологодская область,СЗФО,область,Region,RU-VLG,19,19,RU-VLG,55,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Vologda Oblast
186,RUS,Russia,20,Ingush,Республика Ингушетия,СКФО,республика,Republic,RU-IN,26,26,RU-IN|RU-ING,34,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Republic of Ingushetia
186,RUS,Russia,12,Chelyabinsk,Челябинская область,УФО,область,Region,RU-CHE,75,75,RU-CHE,24,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Chelyabinsk Oblast
186,RUS,Russia,7,Bashkortostan,Республика Башкортостан,ПФО,республика,Republic,RU-BA,80,80,RU-BA|RU-BAS,61,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Republic of Bashkortostan
186,RUS,Russia,5,Arkhangel'sk,Архангельская область,СЗФО,область,Region,RU-ARK,11,11,RU-ARK,2,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Arkhangelsk Oblast
186,RUS,Russia,54,Novgorod,Новгородская область,СЗФО,область,Region,RU-NGR,49,49,RU-NGR,4,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Novgorod Oblast
186,RUS,Russia,43,Leningrad,Ленинградская область,СЗФО,область,Region,RU-LEN,41,41,RU-LEN,46,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Leningrad Oblast
186,RUS,Russia,60,Perm',Пермский край,ПФО,край,Territory,RU-PER,57,57,RU-PER,56,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Perm Krai
186,RUS,Russia,80,Udmurt,Удмуртская Республика,ПФО,республика,Republic,RU-UD,94,94,RU-UD|RU-UDM,59,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Udmurt Republic
186,RUS,Russia,73,Tatarstan,Республика Татарстан,ПФО,республика,Republic,RU-TA,92,92,RU-TA|RU-TAT,50,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Republic of Tatarstan
186,RUS,Russia,81,Ul'yanovsk,Ульяновская область,ПФО,область,Region,RU-ULY,73,73,RU-ULY,63,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Ulyanovsk Oblast
186,RUS,Russia,15,Chuvash,Чувашская Республика,ПФО,республика,Republic,RU-CU,97,97,RU-CU|RU-CHV,49,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Chuvash Republic
186,RUS,Russia,87,Yamal-Nenets,Ямало-Ненецкий автономный округ,УФО,автономный округ,Autonomous Province,RU-YAN,71140,719,RU-YAN,70,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Yamalo-Nenets Autonomous Okrug
186,RUS,Russia,40,Krasnoyarsk,Красноярский край,СФО,край,Territory,RU-KYA,04,04,RU-KYA,69,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Krasnoyarsk Krai
186,RUS,Russia,45,Maga Buryatdan,Магаданская область,ДФО,область,Region,RU-MAG,44,44,RU-MAG,7,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Magadan Oblast
186,RUS,Russia,27,Kamchatka,Камчатский край,ДФО,край,Territory,RU-KAM,30,30,RU-KAM,8,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Kamchatka Krai
186,RUS,Russia,65,Sakha,Республика Саха (Якутия),ДФО,республика,Republic,RU-SA,98,98,RU-SA|RU-SAH,67,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Sakha (Yakutia) Republic
186,RUS,Russia,200,Sevastopol',г. Севастополь,ЮФО,город федерального значения,City,UA-40,67,67,RU-SEV,,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,City of Sevastopol
186,RUS,Russia,400,Crimea,Республика Крым,ЮФО,республика,Republic,UA-43,35,35,RU-CRY,,2021-12-22T17:20:00+0300,2021-12-22T18:20:00+0300,Republic of Crimea
